epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3086,1.89868,3.80159,1.5674,0.508,0.24319,0.23861,0.16146,1.59151,2.74208,1.40745,0.000410256,0.000410256,0.000410256
2,83.7667,1.64581,2.56007,1.36473,0.85731,0.23924,0.29892,0.14556,1.56464,2.15339,1.41498,0.00062226,0.00062226,0.00062226
3,125.143,1.58648,2.17544,1.34641,0.83555,0.24813,0.28968,0.15533,1.52508,2.09964,1.35111,0.000628013,0.000628013,0.000628013
4,167.694,1.57593,1.97348,1.3862,0.8078,0.33424,0.35489,0.20132,1.44098,1.87011,1.30598,0.000321875,0.000321875,0.000321875
