epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4195,1.43019,3.42294,1.28866,0.62234,0.3284,0.29151,0.19763,1.25892,3.17394,1.1114,0.00040625,0.00040625,0.00040625
2,51.8808,1.38398,2.33491,1.21858,0.76213,0.29057,0.29429,0.20064,1.31902,2.71828,1.18925,0.000741448,0.000741448,0.000741448
3,77.3329,1.40675,2.12488,1.16285,0.76213,0.29057,0.29429,0.20064,1.31902,2.71828,1.18925,0.000994146,0.000994146,0.000994146
4,103.155,1.29244,1.89386,1.13383,0.77913,0.26593,0.26179,0.18156,1.10138,3.57167,1.02112,0.00087875,0.00087875,0.00087875
5,128.768,1.28854,1.97818,1.11808,0.64667,0.43468,0.39125,0.26941,1.22119,1.9245,1.08728,0.000755,0.000755,0.000755
6,154.276,1.23997,1.87186,1.12557,0.64667,0.43468,0.39125,0.26941,1.22119,1.9245,1.08728,0.00063125,0.00063125,0.00063125
7,180.045,1.26609,1.80399,1.11203,0.8166,0.46855,0.48424,0.35484,1.10864,1.433,1.06545,0.0005075,0.0005075,0.0005075
8,205.96,1.152,1.51187,1.08065,0.8166,0.46855,0.48424,0.35484,1.10864,1.433,1.06545,0.00038375,0.00038375,0.00038375
9,232.363,1.11055,1.34063,1.0396,0.74974,0.48126,0.4907,0.37256,1.06843,1.28801,1.03977,0.00026,0.00026,0.00026
10,258.029,1.03506,1.20354,0.99718,0.78417,0.48126,0.49765,0.38435,1.04488,1.1654,1.01355,0.00013625,0.00013625,0.00013625
