epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4838.63,0.37595,0.46669,0.83463,0.99817,0.7907,0.81938,0.76027,0.33207,0.42979,0.84733,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,4995.28,0.38104,0.48616,0.83207,0.99787,0.7907,0.79576,0.75207,0.33681,0.4354,0.84982,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,5152.41,0.37477,0.45364,0.83339,0.9981,0.7907,0.79576,0.7627,0.31015,0.41811,0.85558,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,5301.98,0.36297,0.43541,0.83132,0.99824,0.7907,0.796,0.76201,0.30233,0.40914,0.85464,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,5457.92,0.35339,0.43876,0.83518,0.99851,0.7907,0.79599,0.75758,0.30583,0.41585,0.85651,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,5615.03,0.34717,0.42635,0.82399,0.99855,0.7907,0.79576,0.76037,0.28569,0.3875,0.8541,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,5771.16,0.35241,0.42893,0.81912,0.9986,0.7907,0.80032,0.75936,0.29013,0.3898,0.85631,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,5921.09,0.35563,0.42608,0.83439,0.99868,0.7907,0.80334,0.76267,0.29253,0.39398,0.85521,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,6077.61,0.36065,0.43214,0.83554,0.99877,0.7907,0.79822,0.76177,0.29639,0.39284,0.85079,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,6233.97,0.33982,0.42744,0.8189,0.99881,0.7907,0.79809,0.7616,0.28427,0.38407,0.84989,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,6390.72,0.34876,0.42275,0.83375,0.99868,0.7907,0.79706,0.75629,0.29256,0.37338,0.85014,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
